"captured_at","token","symbol","ltp","ltq","ltt","volume","open_price","high_price","low_price","prev_close","lower_circuit","upper_circuit","bids","asks"
"2025-12-18 11:15:08.64296+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:15:28.827214+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:00.067057+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:22.777649+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:54.56535+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:55.953371+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:57.327334+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:16:58.708735+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:17:00.048555+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
"2025-12-18 11:17:01.521167+05:30","134895364","ARUNIS","150.05","21989","Thu Dec 18 11:15:00 IST 2025","137010","147.75","150.05","147.75","150.75",NULL,NULL,"[{""price"": 150.05, ""orders"": 7, ""quantity"": 1449}, {""price"": 150.0, ""orders"": 1, ""quantity"": 5}, {""price"": 149.25, ""orders"": 1, ""quantity"": 14}, {""price"": 149.0, ""orders"": 1, ""quantity"": 10000}, {""price"": 148.5, ""orders"": 1, ""quantity"": 87}]","[{""price"": 150.3, ""orders"": 1, ""quantity"": 49}, {""price"": 150.5, ""orders"": 1, ""quantity"": 50}, {""price"": 150.75, ""orders"": 5, ""quantity"": 5020}, {""price"": 152.95, ""orders"": 1, ""quantity"": 4000}, {""price"": 153.0, ""orders"": 3, ""quantity"": 3500}]"
