"captured_at","token","symbol","ltp","ltq","ltt","volume","open_price","high_price","low_price","prev_close","lower_circuit","upper_circuit","bids","asks"
"2025-12-18 09:30:28.700391+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:30:32.150474+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:30:57.000333+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:30:58.288054+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:31:28.900579+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:32:05.774062+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:32:20.675438+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:32:56.484333+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:33:04.043336+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:33:31.314053+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:34:06.807509+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:34:10.895015+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:34:32.772335+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","3000","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:34:54.952246+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:35:27.389971+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:36:00.988536+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:36:21.611466+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:36:24.143349+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:36:38.127508+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:36:44.478653+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 475, ""quantity"": 6212400}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:37:18.340244+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:37:34.429741+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:37:58.643081+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4200","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:38:13.553781+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:38:18.658666+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:38:27.562126+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:38:58.850912+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:38:59.34893+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:39:31.997263+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 332.7, ""orders"": 1, ""quantity"": 4800}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:40:09.087279+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 332.7, ""orders"": 1, ""quantity"": 4800}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:40:42.105829+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 332.7, ""orders"": 1, ""quantity"": 4800}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:41:16.093103+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 332.7, ""orders"": 1, ""quantity"": 4800}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-18 09:41:23.842992+05:30","6336001","DHARIWAL-ST","331.05","600","Wed Dec 17 14:14:51 IST 2025","4800","337.65","331.05","331.05","331.05","324.45","337.65","[{""price"": 337.65, ""orders"": 476, ""quantity"": 6213000}, {""price"": 332.7, ""orders"": 1, ""quantity"": 4800}, {""price"": 331.05, ""orders"": 1, ""quantity"": 1200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 324.45, ""orders"": 2, ""quantity"": 3000}, {""price"": 337.65, ""orders"": 2, ""quantity"": 1800}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
